,brand,price,year
1142,air,535,2016
1143,None,699,2016
1144,nike,818,2016
1145,nike,145,2016
1146,adidas,100,2016
1147,jordan,119,2016
1148,adidas,140,2016
1149,adidas,154,2016
1150,adidas,189,2016
1151,adidas,167,2016
1152,adidas,110,2016
1153,adidas,188,2016
1154,jordan,250,2016
1155,air,185,2016
1156,jordan,485,2016
1157,reebok,140,2016
1158,jordan,140,2016
1159,kobe,210,2016
1160,adidas,120,2016
1161,adidas,332,2016
1162,adidas,89,2016
1163,air,142,2016
1164,air,200,2016
1165,nike,292,2016
1166,adidas,583,2016
1167,None,625,2016
1168,jordan,220,2016
1169,jordan,165,2016
1170,adidas,130,2016
1171,reebok,47,2016
1172,adidas,113,2016
1173,armour,200,2016
1174,kd,63,2016
1175,adidas,75,2016
1176,jordan,90,2016
1177,adidas,109,2016
1178,None,134,2016
1179,adidas,150,2016
1180,None,160,2016
1181,lebron,165,2016
1182,puma,177,2016
1183,jordan,180,2016
1184,adidas,180,2016
1185,adidas,198,2016
1186,adidas,199,2016
1187,adidas,220,2016
1188,adidas,225,2016
1189,adidas,244,2016
1190,adidas,300,2016
1191,adidas,800,2016
1192,adidas,630,2016
1193,adidas,600,2016
1194,air,220,2016
1195,air,75,2016
1196,air,86,2016
1197,air,113,2016
1198,air,145,2016
1199,air,170,2016
1200,adidas,200,2016
1201,air,210,2016
1202,None,300,2016
1203,asics,225,2016
1204,asics,490,2016
1205,air,118,2016
1206,asics,170,2016
1207,asics,216,2016
1208,kobe,224,2016
1209,asics,225,2016
1210,asics,300,2016
1211,asics,380,2016
1212,puma,399,2016
1213,air,120,2016
1214,jordan,104,2016
1215,kobe,120,2016
1216,air,73,2016
1217,kobe,110,2016
1218,air,115,2016
1219,air,115,2016
1220,air,119,2016
1221,adidas,139,2016
1222,adidas,500,2016
1223,air,69,2016
1224,air,78,2016
1225,nike,85,2016
1226,air,111,2016
1227,None,212,2016
1228,lebron,400,2016
1229,air,199,2016
1230,air,119,2016
1231,None,200,2016
1232,None,215,2016
1233,jordan,95,2016
1234,adidas,117,2016
1235,jordan,65,2016
1236,jordan,80,2016
1237,jordan,122,2016
1238,air,140,2016
1239,jordan,190,2016
1240,jordan,79,2016
1241,None,125,2016
1242,jordan,125,2016
1243,None,180,2016
1244,adidas,200,2016
1245,adidas,225,2016
1246,jordan,215,2016
1247,nike,100,2016
1248,air,214,2016
1249,reebok,120,2016
1250,balance,150,2016
1251,air,171,2016
1252,kobe,174,2016
1253,air,180,2016
1254,nike,198,2016
1255,None,200,2016
1256,jordan,350,2016
1257,air,600,2016
1258,air,50,2016
1259,nike,130,2016
1260,air,150,2016
1261,nike,175,2016
1262,lebron,250,2016
1263,adidas,330,2016
1264,air,207,2016
1265,saucony,175,2016
1266,nike,150,2016
1267,nike,85,2016
1268,jordan,165,2016
1269,air,168,2016
1270,adidas,100,2016
1271,adidas,111,2016
1272,jordan,360,2016
1273,adidas,80,2016
1274,adidas,111,2016
1275,jordan,124,2016
1276,air,160,2016
1277,jordan,190,2016
1278,air,200,2016
1279,air,222,2016
1280,air,265,2016
1281,jordan,275,2016
1282,air,390,2016
1283,jordan,445,2016
1284,vans,600,2016
1285,air,999,2016
1286,adidas,75,2016
1287,puma,140,2016
1288,adidas,168,2016
1289,None,250,2016
1290,None,400,2016
1291,None,450,2016
1292,None,580,2016
1293,None,700,2016
1294,air,109,2016
1295,nike,168,2016
1296,air,390,2016
1297,nike,70,2016
1298,adidas,98,2016
1299,jordan,99,2016
1300,air,100,2016
1301,jordan,115,2016
1302,jordan,130,2016
1303,adidas,138,2016
1304,adidas,140,2016
1305,adidas,250,2016
1306,kobe,350,2016
1307,adidas,110,2016
1308,jordan,91,2016
1309,nike,181,2016
1310,jordan,300,2016
1311,jordan,54,2016
1312,jordan,75,2016
1313,kd,120,2016
1314,asics,150,2016
1315,asics,160,2016
1316,kyrie,188,2016
1317,asics,194,2016
1318,lebron,199,2016
1319,nike,250,2016
1320,air,340,2016
1321,air,116,2016
1322,None,144,2016
1323,kobe,240,2016
1324,air,100,2016
1325,None,69,2016
1326,air,90,2016
1327,air,98,2016
1328,air,100,2016
1329,adidas,121,2016
1330,adidas,139,2016
1331,adidas,144,2016
1332,adidas,145,2016
1333,air,150,2016
1334,puma,154,2016
1335,air,195,2016
1336,adidas,189,2016
