,sneaker,price,brand,date
164,"['Kobe 8', 'Pit Viper', 'Kobe 8', 'Pit Viper']",240,kobe,['release: 10/05/2013']
165,"['LeBron X Low', 'Reptile', 'LeBron X Low', 'Reptile']",124,lebron,['release: 10/05/2013']
166,['Jordan Son of Mars Low Bel Air'],178,air,['release: 10/05/2013']
167,['Jordan 1 Retro 95 Concord'],185,jordan,['release: 10/05/2013']
168,"['Air Max 90', 'Atmos ""Duck Hunter Camo""', 'Air Max 90', 'Atmos ""Duck Hunter Camo""']",799,air,['release: 10/05/2013']
169,['Jordan 1 Retro 95 Bred'],179,jordan,['release: 10/05/2013']
170,['Air Max Hyperposite Glow-In-the-Dark'],200,air,['release: 10/05/2013']
171,"[""Air Zoom Flight '98 The Glove Black/White OG""]",210,air,['release: 10/05/2013']
172,['Saucony Shadow 5000 BAU x The Distinct Life NOVEM Blue'],245,saucony,['release: 10/05/2013']
173,"['New Balance 998', 'Concepts x Tannery ""Mint""', 'New Balance 998', 'Concepts x Tannery ""Mint""']",250,balance,['release: 10/05/2013']
174,"['Jordan XX8 SE', 'Bel Air', 'Jordan XX8 SE', 'Bel Air']",299,air,['release: 10/05/2013']
175,"['Jordan 5 Retro', 'Bel-Air (GS)', 'Jordan 5 Retro', 'Bel-Air (GS)']",325,air,['release: 10/05/2013']
176,['Saucony Shadow 5000 BAU x The Distinct Life NOVEM Tan'],350,saucony,['release: 10/05/2013']
177,['adidas Superstar 80s D. Rose'],99,adidas,['release: 10/04/2013']
178,['Reebok Shaq Attaq Big Shaqtus'],102,reebok,['release: 10/04/2013']
179,"['Air Max 95 Tape', 'Glow In the Dark', 'Air Max 95 Tape', 'Glow In the Dark']",169,air,['release: 10/03/2013']
180,['Nike Flyknit Lunar1+ Supreme Black'],785,nike,['release: 10/03/2013']
181,['Jordan Prime Flight High Bel-Air (PS)'],45,air,['release: 10/01/2013']
182,"['Jordan 1 Low', 'Laney', 'Jordan 1 Low', 'Laney']",190,jordan,['release: 10/01/2013']
183,"['KD 6', 'Away', 'KD 6', 'Away']",300,kd,['release: 10/01/2013']
184,"['Jordan 5 Retro', 'Shanghai Shen', 'Jordan 5 Retro', 'Shanghai Shen']",610,jordan,['release: 09/29/2013']
185,['Nike Flyknit Racer Chlorine Blue'],160,nike,['release: 09/28/2013']
186,"['Nike Dunk High', 'Acorn (2013)', 'Nike Dunk High', 'Acorn (2013)']",140,nike,['release: 09/28/2013']
187,['Air Foamposite One Thermal Map'],250,air,['release: 09/28/2013']
188,['Nike SB Stefan Janoski Zoom Digi Floral Blue'],125,nike,['release: 09/27/2013']
189,"['Fila 95', 'Grant Hill 1 OG (2013)', 'Fila 95', 'Grant Hill 1 OG (2013)']",120,,['release: 09/26/2013']
190,"['Jordan 5 Retro', '3Lab5', 'Jordan 5 Retro', '3Lab5']",185,jordan,['release: 09/21/2013']
191,"['Air Python', 'White Metallic Silver', 'Air Python', 'White Metallic Silver']",99,air,['release: 09/21/2013']
192,"['Jordan XX8', 'Red Elephant', 'Jordan XX8', 'Red Elephant']",210,jordan,['release: 09/21/2013']
193,"['Jordan XX8', 'Cement Elephant', 'Jordan XX8', 'Cement Elephant']",299,jordan,['release: 09/21/2013']
194,"['New Balance 577', 'Bodega ""HYPRCAT""', 'New Balance 577', 'Bodega ""HYPRCAT""']",320,balance,['release: 09/21/2013']
195,"['Air Max 90 CMFT', 'Tape Reflective White', 'Air Max 90 CMFT', 'Tape Reflective White']",130,air,['release: 09/20/2013']
196,"['KD 6', 'Bamboo', 'KD 6', 'Bamboo']",179,kd,['release: 09/14/2013']
197,"['Air Pippen', 'Camo Black Flash Lime', 'Air Pippen', 'Camo Black Flash Lime']",200,air,['release: 09/14/2013']
198,['Nike Free TR 5.0 Rivalry Oregon Ducks'],205,nike,['release: 09/14/2013']
199,['Jordan Son of Mars Low Team Red Gold'],219,jordan,['release: 09/14/2013']
200,"['New Balance 998', 'Concepts ""C-Note""', 'New Balance 998', 'Concepts ""C-Note""']",392,balance,['release: 09/14/2013']
201,"['Jordan 5 Retro', 'Doernbecher', 'Jordan 5 Retro', 'Doernbecher']",850,jordan,['release: 09/14/2013']
202,"['ASICS Gel-Lyte III Concepts ""Three Lies""']",215,asics,['release: 09/13/2013']
203,"['Vans Sk8-Hi', 'Supreme Velvet Blue', 'Vans Sk8-Hi', 'Supreme Velvet Blue']",300,vans,['release: 09/12/2013']
204,"['Vans Era', 'Supreme Velvet Black', 'Vans Era', 'Supreme Velvet Black']",400,vans,['release: 09/12/2013']
205,"['Jordan Spizike', 'Wolf Grey Metallic Red Bronze (TD)', 'Jordan Spizike', 'Wolf Grey Metallic Red Bronze (TD)']",65,jordan,['release: 09/10/2013']
206,['Saucony Shadow 5000 West NYC Tequila Sunrise'],140,saucony,['release: 09/07/2013']
